17
813 900
565 393 -832
599 700 459
586 655 938
612 764 -594
391 481 -441
759 322 592
753 144 -410
744 361 507
34 360 788
707 720 -248
707 712 881
314 122 -997
795 739 -57
145 244 466
352 15 -161
744 30 7
25 574 157
706 531 -316
20 469 -384
456 472 -781
578 504 -758
19 168 -598
286 546 214
326 81 589
442 275 535
157 56 -724
460 110 405
120 543 -194
165 469 559
696 630 41
271 417 -965
474 7 -501
693 374 -590
257 207 474
546 635 548
666 167 -757
295 99 -277
64 638 984
345 592 -31
29 498 435
798 558 925
768 128 -38
344 536 -183
333 504 -918
291 585 244
501 450 286
364 565 -839
137 794 -354
641 314 733
468 472 -471
98 264 -187
781 367 280
62 64 -819
356 329 559
660 487 -161
304 626 -323
594 484 196
34 552 370
646 569 124
711 737 334
414 361 -917
440 397 797
272 493 -292
788 99 -691
806 137 -796
709 786 997
453 389 -552
605 92 50
229 20 -11
239 218 -581
260 12 -885
557 719 133
556 510 -231
465 804 -463
621 624 232
210 393 -771
87 495 696
90 672 738
256 513 676
693 542 249
790 120 939
238 371 257
73 456 -169
472 244 439
682 711 -693
377 467 -867
208 98 -900
658 679 -846
429 773 -966
766 182 -251
387 355 261
292 617 94
477 568 966
446 577 364
778 235 -594
293 239 -506
480 745 -453
551 181 -648
516 660 730
287 723 -636
132 606 241
693 460 255
749 530 -910
785 423 -173
307 717 528
810 764 926
224 795 -608
523 632 626
602 238 -400
131 125 101
775 197 -750
487 459 -4
418 18 346
133 128 258
212 426 -364
618 199 -544
715 640 -176
581 147 124
573 745 -31
345 492 519
801 353 329
116 368 900
115 141 -698
737 119 -56
761 551 -887
668 171 -855
332 500 -608
800 726 -413
654 509 -668
621 355 -540
98 266 373
578 588 -308
717 721 -362
147 256 754
117 118 -272
299 361 -669
75 551 631
394 731 493
764 501 992
453 183 -634
87 645 -263
261 34 -9
361 145 143
687 274 -709
481 476 -270
544 775 -619
333 626 -642
760 107 40
212 439 -78
44 732 666
529 780 985
10 517 473
42 14 -793
10 310 -497
419 603 -923
514 794 361
681 378 -554
338 695 -621
363 389 -243
525 157 19
233 635 411
789 730 751
354 151 933
147 678 845
340 357 -254
534 411 256
691 519 176
142 485 -469
85 370 927
194 343 28
517 347 -274
237 138 -794
567 482 718
770 591 -41
118 503 256
159 120 -209
187 340 975
529 725 -792
582 123 -675
628 6 597
64 544 165
568 36 -70
530 686 -866
422 69 -181
124 549 338
647 337 -477
468 424 -528
154 579 927
33 649 -568
410 524 489
245 45 -427
529 83 -403
516 408 362
581 142 439
553 720 662
210 794 -290
459 364 452
459 345 600
591 685 -430
295 767 941
337 545 -422
276 66 467
493 403 422
688 58 -941
774 310 -556
52 651 267
450 771 304
436 218 540
213 322 939
395 596 -854
645 85 241
115 498 -158
646 281 -964
288 198 -823
778 336 -828
190 71 -731
246 418 824
243 115 935
157 758 341
124 330 609
122 273 -829
342 792 -751
538 606 -896
241 117 963
620 765 396
602 780 821
167 5 -163
10 669 -759
99 452 973
13 374 431
517 34 -991
511 689 111
354 267 917
379 280 829
320 382 -303
475 114 -568
492 680 563
21 632 859
157 548 -807
715 340 -122
403 447 -475
747 223 -47
174 528 826
76 504 698
72 707 693
120 161 612
614 405 333
74 300 -280
569 312 293
711 413 -859
263 606 279
586 238 -137
233 470 -351
738 503 -871
128 224 417
463 175 -684
697 376 -242
224 650 -456
541 699 -609
511 311 760
504 416 -475
313 136 -933
281 94 -502
680 306 -966
613 18 -799
692 144 473
333 141 -34
99 195 897
587 157 801
801 85 -444
343 444 -658
751 792 -556
556 63 334
544 721 347
206 776 115
197 509 647
622 416 471
655 171 736
545 551 911
537 504 -863
270 717 -697
649 410 909
374 453 530
564 2 -111
555 60 514
676 262 -770
484 428 785
572 238 252
796 162 -625
61 782 -198
471 805 -937
366 684 -822
592 675 -28
632 523 -663
597 562 -978
538 659 636
472 151 667
116 429 -596
259 717 -823
300 366 -749
115 227 -490
57 253 -136
634 693 686
290 139 -370
775 337 202
310 602 923
493 338 968
82 71 449
645 48 344
210 775 -195
530 725 848
381 26 -900
119 173 -832
733 453 543
240 84 -218
263 632 -513
719 15 59
797 266 598
16 98 -137
28 643 619
483 621 305
637 743 -284
66 290 86
475 383 -383
413 473 631
63 218 855
354 297 -9
763 519 850
604 605 -250
807 170 894
274 372 -864
146 445 834
29 104 305
590 596 -848
303 798 -741
355 123 916
211 415 745
660 758 531
279 471 851
696 526 201
559 582 654
118 228 -804
80 598 101
323 752 -417
238 321 271
339 301 880
519 371 900
4 489 474
659 542 -94
805 74 502
736 574 -557
344 525 -559
113 801 -960
308 166 -719
164 793 651
162 528 -175
445 319 583
788 793 248
323 616 74
437 273 -314
242 788 -863
549 264 351
249 570 691
486 203 -87
268 273 -942
155 713 -708
521 273 848
705 667 -25
222 121 38
39 770 951
319 251 -15
78 97 804
510 459 414
367 402 -3
458 433 767
128 506 -602
430 252 -649
741 150 301
248 130 325
516 547 993
396 355 -368
166 763 179
320 668 -814
763 388 -925
241 695 543
26 22 260
481 262 -678
467 695 537
395 587 576
435 724 -789
429 75 901
658 380 -923
183 333 287
426 125 605
334 467 -1
298 361 -403
185 514 847
798 93 204
613 548 811
118 667 759
772 460 -268
632 491 -272
492 424 -261
276 52 880
200 366 70
245 800 -812
224 225 -417
334 659 -212
745 258 940
199 741 -458
734 194 887
700 697 352
46 170 -73
698 234 853
783 150 -66
661 125 600
465 433 -357
52 197 -202
358 231 142
801 370 -502
36 613 409
435 734 980
206 312 -680
167 252 111
508 284 -174
777 185 -350
571 320 -942
88 428 404
446 225 708
298 505 267
769 8 34
142 44 -486
114 420 -699
569 195 460
168 725 101
245 376 881
142 446 -794
294 62 558
42 722 371
430 755 -54
263 58 -231
732 585 242
802 491 -407
213 558 -212
706 618 564
464 547 -666
146 579 527
12 306 -345
444 516 902
776 800 535
239 534 340
286 477 171
427 462 113
543 740 940
407 130 -773
28 544 -440
656 315 -296
107 224 46
66 151 -742
302 728 -411
577 441 763
70 782 274
667 642 -507
442 457 -813
154 454 491
583 87 814
29 477 271
345 20 954
811 624 788
183 212 798
501 165 677
568 540 914
789 494 -376
296 330 886
772 142 540
456 478 589
319 347 -826
810 66 777
168 401 -80
134 527 65
399 289 -384
343 707 -622
485 24 99
35 241 -869
609 606 -390
459 243 -404
481 515 -162
135 792 -750
79 550 -390
650 281 -991
175 204 -996
282 199 -258
689 185 386
25 622 246
245 267 -235
31 258 778
427 478 -469
693 673 801
271 394 -313
580 553 537
386 488 562
701 809 460
696 118 -63
213 681 -882
483 294 -638
754 728 -186
148 774 891
93 449 -901
385 58 509
297 683 -622
498 802 -503
796 428 790
190 184 -345
289 705 -843
422 15 -441
60 788 856
80 314 -4
410 105 901
303 306 721
223 750 -869
119 552 -642
512 601 -747
677 252 764
766 678 488
377 410 143
808 402 941
299 205 -465
94 763 -607
718 516 963
521 497 281
659 1 710
811 165 747
121 683 704
683 425 -486
405 726 -900
246 526 160
158 616 -349
446 50 247
451 191 795
353 12 875
29 645 780
495 640 -874
658 396 -26
650 77 -449
136 151 -564
70 763 -144
611 576 829
386 222 -495
405 31 354
211 185 -677
805 722 876
129 96 866
389 541 -398
112 298 -349
380 252 349
105 127 -949
98 771 731
240 485 -910
541 316 919
169 295 143
87 693 399
498 456 -120
154 145 -510
304 229 714
351 608 -691
612 156 -265
757 56 507
529 344 -36
299 304 135
512 27 -349
440 523 -409
73 502 -320
299 515 887
176 703 -148
721 464 427
567 18 -594
80 622 190
578 32 349
4 450 562
552 249 -490
62 709 -363
99 282 112
214 700 862
312 444 -934
568 107 -843
498 222 905
672 298 626
557 238 735
113 180 -841
511 579 -782
179 119 -991
456 190 -479
752 616 -526
88 327 -515
581 554 -434
602 620 224
398 101 454
239 6 -610
217 184 99
31 283 -692
91 642 -251
498 268 -430
656 799 635
408 448 939
296 161 466
161 263 -430
83 530 -606
17 472 838
791 355 718
356 497 -171
808 583 -784
282 382 1000
144 504 -110
340 236 437
714 483 477
244 49 -716
229 363 625
13 668 141
746 429 -985
199 388 -510
72 558 -631
28 583 948
286 50 -525
222 478 -408
615 263 279
658 163 241
562 678 -500
457 663 241
34 223 -665
481 420 -969
226 513 727
539 131 218
797 184 -318
120 522 235
241 486 453
477 596 221
689 138 142
310 170 869
516 483 167
64 426 830
752 468 -131
854 803
67 587 432
445 300 -537
409 608 49
164 502 -772
98 672 431
367 583 -328
657 70 -469
651 489 876
543 786 89
489 551 87
671 446 207
599 833 -263
849 158 102
89 817 751
432 690 -848
746 561 652
456 59 -302
262 462 949
601 275 -179
318 730 717
207 89 901
188 93 5
66 524 176
206 266 -815
785 76 -490
749 623 -776
313 251 217
54 789 387
288 830 289
755 40 -605
519 358 677
272 357 325
466 455 -177
66 809 -712
598 334 754
496 94 -870
555 137 546
569 330 211
493 2 -459
368 315 125
429 202 -678
629 101 -252
144 179 281
391 293 893
221 711 -186
569 344 290
384 789 -529
631 735 396
183 780 -551
385 8 631
123 416 402
702 143 557
666 508 337
119 238 789
295 570 -152
676 31 43
119 740 -889
760 331 -841
442 34 -828
342 324 -557
261 310 -468
762 724 831
17 524 -578
237 380 -657
529 39 607
407 119 -126
168 781 -82
198 34 -203
213 744 -167
291 373 -787
587 191 -42
17 351 37
670 353 -634
769 537 -433
187 810 238
152 526 868
596 649 795
774 13 -118
746 578 946
209 568 218
20 578 490
23 816 -255
284 625 -628
706 87 841
537 513 -706
276 821 -506
127 618 794
374 119 -583
273 764 -876
841 348 160
738 133 -832
773 660 451
660 677 591
751 290 246
109 37 626
189 603 -630
61 542 709
521 455 -784
686 609 -680
229 327 761
250 430 -566
393 803 321
458 594 102
395 512 250
390 257 208
817 203 -818
854 433 508
110 394 -569
419 626 -563
31 332 -95
807 197 685
775 169 866
571 110 -15
717 4 -20
449 661 880
703 794 -199
437 274 348
397 718 -957
567 659 -795
413 814 -474
810 61 727
701 625 329
242 275 -907
251 360 -560
660 843 297
20 621 -458
839 540 -704
588 798 -838
486 629 298
250 336 -544
543 648 -754
355 758 168
15 706 96
76 281 -483
116 785 -573
577 320 279
615 224 678
637 666 -164
111 607 -890
41 213 -141
394 766 -157
41 249 242
521 621 -662
141 784 672
139 218 81
218 406 -507
46 552 18
478 528 -366
439 156 621
63 356 -69
262 406 -183
423 126 -430
605 837 -809
250 724 885
357 29 -897
82 716 540
836 705 70
681 699 391
738 211 -781
558 848 -855
473 18 -672
189 80 9
442 741 540
785 205 224
782 188 81
526 507 905
83 536 -638
272 501 609
16 346 723
16 3 77
282 86 -991
693 462 -158
659 832 65
262 786 -769
428 838 452
194 474 263
248 703 531
92 520 301
459 421 -169
152 228 928
238 847 -266
410 765 555
407 17 -732
736 431 -16
496 633 -787
485 443 -689
511 328 -978
391 96 -459
174 807 243
252 510 596
215 528 822
422 386 -810
478 800 375
574 445 -934
271 607 -631
231 295 -153
432 404 8
766 117 793
162 244 -713
712 530 -636
711 205 723
506 262 780
660 467 -35
170 514 198
634 689 -244
417 333 603
302 260 -883
346 213 -950
429 807 663
165 595 109
211 480 -237
521 486 -428
711 57 -461
669 6 734
182 86 49
781 522 207
548 432 180
813 387 -651
267 794 -431
526 689 -109
116 808 -883
778 361 -395
841 291 525
411 738 622
760 202 -201
223 575 -206
496 806 395
187 710 -445
852 471 -798
803 13 777
470 394 136
853 200 770
119 765 261
623 29 -401
41 379 929
153 271 -87
391 73 617
760 490 -231
395 153 682
375 36 -942
26 35 -608
591 844 -13
325 134 57
703 427 -456
473 166 599
79 341 142
89 35 -436
20 735 -744
164 56 -965
250 800 -396
606 546 7
822 252 -655
246 108 784
738 26 -941
657 249 -668
842 221 -661
131 401 -611
22 5 602
144 380 -64
320 638 815
110 279 -135
383 662 89
149 841 -275
645 220 26
205 657 367
12 658 -236
555 274 -780
604 6 -161
667 126 -486
549 444 587
647 636 -600
482 312 650
791 162 -797
711 417 755
110 785 -443
65 420 -999
695 684 846
809 167 374
148 587 420
202 236 -929
468 231 31
242 786 917
510 186 -653
302 122 -133
64 522 -816
675 43 -387
832 560 -660
479 705 -753
718 563 127
246 433 201
405 834 217
424 166 -820
281 698 168
290 540 114
200 70 -35
394 790 704
540 235 -666
730 320 -814
733 254 -902
389 419 -598
118 374 303
467 324 -546
275 605 -854
711 160 -143
135 609 626
134 841 -169
542 575 208
571 315 514
264 475 7
46 480 -914
653 131 -995
821 331 671
790 369 753
588 257 -212
176 712 136
534 443 -914
820 751 -417
482 31 810
45 17 828
772 853 -961
818 650 -987
765 563 -307
302 551 580
275 455 -398
843 208 710
598 107 513
161 469 370
836 402 -371
727 257 468
671 196 -171
594 700 -643
731 283 322
458 655 473
332 768 -784
421 393 196
156 541 -512
388 263 981
666 478 -554
280 567 -276
191 351 792
681 590 -278
611 564 95
763 217 -768
844 231 -193
791 651 -497
504 589 -876
710 566 -821
282 315 -514
814 338 -194
813 565 243
94 481 -220
599 781 -38
97 24 320
244 454 648
257 457 382
82 592 -953
650 107 -508
462 550 -521
404 136 518
572 153 45
523 386 317
523 280 -52
603 375 -420
453 678 -501
243 395 -252
12 654 -267
29 366 -901
190 288 670
665 218 -714
719 288 961
338 98 -761
145 627 -428
526 356 -380
563 512 -227
629 513 558
632 170 -981
47 116 928
710 416 958
220 723 960
111 497 -513
706 767 74
246 92 958
27 854 -222
614 89 486
318 548 476
759 408 -678
714 756 75
823 514 -401
795 292 490
50 162 646
496 370 708
344 112 -70
288 518 -105
424 547 397
290 98 -630
491 555 970
133 17 210
631 487 -532
237 364 -520
522 6 -356
562 221 461
711 676 442
238 279 -444
319 840 262
610 341 -821
358 807 -509
505 688 -804
328 646 -696
406 397 254
407 209 870
66 26 664
376 275 98
529 218 452
29 480 -766
316 489 -866
712 120 -970
59 28 89
724 645 516
841 29 863
53 116 541
854 297 -274
595 178 -150
617 581 -934
755 298 652
717 792 -590
4 175 -473
759 501 -318
87 364 -445
773 80 -48
617 438 937
450 621 -474
331 518 -453
44 652 348
398 12 -441
553 266 -320
847 490 538
62 288 659
269 597 -816
654 428 797
430 175 427
612 460 233
504 774 102
60 278 -829
24 153 -247
217 400 -998
16 53 318
680 69 -696
154 776 126
796 794 447
11 429 434
305 570 -840
609 219 -279
556 409 -230
748 396 -802
158 64 110
775 717 546
498 401 -342
8 756 138
427 362 -324
676 104 766
808 731 441
848 173 -555
120 845 -342
529 499 954
672 368 -509
87 736 -196
745 352 -651
14 579 -852
853 251 -262
551 682 -274
712 553 252
280 135 916
255 295 -97
99 817 700
376 149 -96
498 205 176
309 447 905
468 441 -695
304 209 -796
148 555 831
259 396 -780
442 145 781
241 331 948
203 772 -7
442 672 -49
303 422 525
418 565 679
445 785 35
602 309 40
39 342 341
441 110 -646
188 19 -219
599 421 373
762 243 413
78 581 104
639 633 -330
9 177 -341
542 801 947
251 686 91
684 829 564
188 511 -862
380 510 406
686 416 -268
774 660 476
239 55 601
676 599 -794
289 204 -99
320 273 -662
435 811 -32
535 527 655
382 656 -899
300 661 -581
625 468 -817
736 681 655
759 636 -563
587 129 -516
434 666 751
617 374 -75
687 512 -503
592 782 814
155 804 -475
295 618 33
136 778 951
514 255 492
63 198 -589
607 588 672
295 283 -282
77 632 672
165 476 -386
17 132 -118
524 301 -162
222 212 179
781 33 -122
227 430 -119
409 610 -571
141 553 -887
764 174 157
558 340 -218
73 454 516
689 15 -962
575 269 309
742 763 528
619 264 -210
270 66 828
842 671 761
188 18 -390
194 440 -584
674 401 -660
398 713 74
349 600 279
111 107 -209
40 249 920
632 542 -802
381 357 -488
670 554 703
443 243 466
295 788 -84
116 464 -639
710 479 -476
265 852 -285
745 494 -576
454 76 966
282 627 -340
377 164 -439
19 194 -439
706 548 -445
669 57 709
618 617 -775
519 165 -855
177 262 876
343 585 -686
395 140 -49
327 563 -874
357 363 542
134 615 -288
249 714 -837
833 766 -642
583 670 -28
172 226 -1
162 487 -317
617 242 -743
846 169 794
711 20 342
84 812 790
600 272 -144
159 364 -196
488 150 -553
137 627 310
94 300 -707
419 305 977
293 341 -910
827 100 -787
651 774 177
815 57 -49
706 481 -381
691 429 757
257 430 -31
106 664 293
376 598 846
568 773 677
202 239 -64
428 17 -617
98 737 -121
157 366 -681
221 687 858
100 19 -852
411 227 328
679 211 418
142 144 -916
401 432 -2
413 717 923
265 28 -247
592 367 104
261 749 237
133 790 -274
824 260 -776
124 284 550
356 834 283
18 639 -619
339 8 305
660 457 444
361 450 499
145 660 -108
814 454 -565
205 65 -798
741 268 76
245 3 135
263 218 -227
292 610 487
822 569 -251
820 28 217
806 394 931
662 318 -401
307 101 272
715 44 478
288 149 189
721 614 531
791 149 -143
242 757 -930
470 854 900
35 422 -527
204 642 -560
828 774 -947
384 459 368
47 358 -102
709 152 -323
301 16 8
674 602 -200
92 192 -375
150 119 524
424 258 477
805 666 -499
838 792 -724
219 468 77
97 613 -430
765 396 966
545 278 871
490 640 117
528 380 -109
428 181 528
824 304 585
333 518 -212
663 808 79
672 105 101
443 612 -383
433 751 1
687 97 451
465 243 -759
647 629 -773
373 768 457
367 145 -875
703 187 -48
824 343 925
401 343 -596
131 679 20
350 195 321
646 76 462
843 581 621
666 774 -462
442 381 -979
662 176 -205
636 845 -168
442 703 446
505 743 -728
177 171 365
174 47 700
810 182 618
15 173 -202
674 748 -649
555 250 495
206 402 -44
74 419 -711
20 707 241
431 281 551
165 4 779
117 8 982
641 666 160
734 1 -205
618 312 -163
462 343 -877
536 673 -884
114 245 363
363 462 12
247 355 534
533 550 694
308 55 41
821 671 293
633 785 422
731 532 -704
237 184 684
422 15 809
619 12 -609
315 558 54
392 399 288
320 91 135
6 289 -74
287 540 75
580 165 175
217 591 -15
693 612 -25
40 141 -315
61 294 930
769 337 856
104 563 583
421 142 446
836 753 848
588 704 -426
304 233 882
297 569 -359
836 235 -960
723 70 -315
550 378 69
27 17 -858
344 531 -321
601 750 -329
69 290 742
667 748 584
169 298 215
550 69 483
694 699 699
5 724 -846
315 700 -525
816 466 -616
138 151 17
75 731 279
383 752 960
617 832 955
832 688 951
466 230 -149
590 739 385
62 218 -915
232 23 542
42 185 97
281 656 111
403 640 340
347 654 -682
240 64 -197
197 669 -584
125 297 -550
102 299 -922
738 691 -136
543 734 -315
395 299 -414
80 90 -295
44 472 844
641 416 190
252 133 -875
787 124 -411
105 1 -831
786 456 71
52 452 -191
80 310 -780
13 248 -964
106 143 -919
181 679 672
762 145 760
76 159 465
447 374 922
174 604 621
529 88 -165
821 173 921
567 24 610
394 410 -461
780 232 390
785 620 536
415 754 428
576 695 529
739 480 -74
233 469 703
252 537 -316
15 137 -948
270 355 -687
21 812 839
29 287 -803
365 153 -270
773 35 86
578 780 -227
182 31 -267
244 32 -628
122 496 513
449 805 -26
431 12 -681
509 265 872
895 945
137 220 764
805 202 -18
546 652 -575
224 465 790
877 762 321
509 849 220
731 588 939
358 406 -787
349 707 235
666 637 750
117 370 -311
535 227 605
608 283 428
190 864 -796
47 842 799
421 871 -11
858 513 -423
135 745 -664
672 177 -22
715 623 220
630 476 -982
891 629 785
745 403 -825
632 257 -922
774 197 -498
290 263 668
598 570 516
670 618 290
699 894 -233
52 403 -185
270 784 412
879 789 -277
863 722 -995
280 268 729
464 668 916
824 220 775
75 563 -390
336 97 -71
92 407 866
190 463 -865
736 212 893
522 638 755
580 67 -867
616 549 787
292 321 312
48 743 -995
293 826 -899
376 439 -739
516 841 728
581 118 -869
341 509 763
232 464 -760
733 127 563
338 190 -55
288 354 -794
376 804 769
314 128 -420
234 268 -820
499 418 -288
33 313 363
126 251 512
199 361 695
383 786 843
318 560 534
751 628 -551
764 762 -129
489 677 -83
380 78 -601
686 139 949
291 714 771
337 229 621
834 115 867
558 53 -960
440 551 459
389 678 514
861 784 -521
795 90 536
461 625 -349
398 773 -815
429 475 -951
267 314 -883
79 390 575
717 553 -718
173 223 -342
782 796 912
696 763 -66
563 101 -367
825 154 440
753 574 106
131 55 -502
171 670 -224
772 847 -47
242 150 -827
487 388 -895
333 575 111
728 580 818
693 683 483
265 211 -332
826 625 347
217 484 25
893 645 629
485 598 601
856 841 -798
600 16 -288
453 834 -348
11 460 0
268 312 136
18 10 273
686 55 644
225 192 -417
170 677 542
725 14 -74
17 411 -617
755 651 342
504 682 881
440 592 299
675 666 132
608 812 454
193 532 -115
892 585 622
869 271 -863
16 656 -473
258 538 -239
167 751 -938
133 352 611
293 177 861
195 72 -778
568 402 -967
219 223 618
860 714 -883
435 555 717
683 35 636
251 343 875
836 142 -282
95 31 -61
330 23 -748
843 10 857
690 290 -615
774 722 -787
411 534 598
319 123 769
889 454 -121
725 5 -65
527 279 684
499 158 5
31 71 433
660 260 -75
783 31 -968
306 855 -752
144 326 617
719 572 -529
131 844 -276
890 23 878
796 551 -897
360 372 -817
418 765 209
254 433 -419
384 454 -161
98 515 780
642 314 221
800 648 954
481 603 -205
450 522 -486
105 602 354
695 436 -167
894 622 -652
696 881 598
290 120 478
834 592 543
102 505 539
877 289 739
393 229 948
379 336 -90
358 423 35
23 770 -872
49 601 -788
605 504 459
242 702 717
841 68 950
223 78 -467
395 312 750
833 29 -663
237 402 -122
114 762 610
273 684 78
198 804 -418
103 274 698
255 208 431
834 683 -419
582 39 524
763 187 -92
703 25 -760
231 718 -833
588 782 981
656 129 419
343 531 52
706 546 -228
711 606 -244
20 587 811
734 860 199
238 827 462
361 545 -34
747 750 779
774 124 8
504 637 12
142 323 -1000
672 234 919
90 419 -300
130 261 843
41 313 321
341 858 -445
529 196 243
757 838 612
127 763 -394
302 362 -56
236 722 764
704 549 240
857 525 830
65 848 572
604 200 581
560 703 438
542 792 270
383 167 203
317 703 -226
265 123 -740
894 648 249
668 536 865
105 812 -555
177 98 88
183 671 311
152 214 472
880 38 410
766 252 -180
70 426 -684
775 484 910
752 829 209
25 729 -135
226 787 594
670 367 480
403 602 -407
189 537 -97
631 486 146
422 569 159
395 808 900
296 285 391
557 869 283
356 594 252
77 390 595
319 5 958
240 658 883
622 726 738
31 612 -808
155 780 978
448 165 360
208 741 398
393 339 278
89 324 870
202 238 -711
840 87 611
291 191 -34
743 682 311
458 62 1000
189 865 6
36 682 762
546 79 -866
10 602 -386
356 285 306
643 722 -822
131 8 -496
620 802 -218
536 650 31
94 792 -420
453 488 620
864 321 -627
300 97 630
216 609 477
461 723 292
114 589 -519
883 252 830
187 12 -300
29 388 262
359 270 -271
107 757 276
199 883 -613
266 328 -560
600 877 -216
155 188 349
469 85 113
613 753 376
280 632 914
613 844 646
81 804 903
266 781 -369
484 496 478
149 488 35
394 689 -731
224 435 -430
379 459 218
800 23 -632
189 370 718
466 220 780
396 280 137
625 805 389
476 124 -302
723 483 501
59 239 853
365 671 -648
799 778 -310
829 600 -29
159 674 297
546 310 417
543 33 104
557 538 -490
705 315 -424
464 99 -908
154 450 895
628 576 784
775 398 376
508 391 -206
801 892 -277
156 654 -235
222 358 862
465 404 158
55 78 -777
600 647 -470
29 270 -235
55 810 -48
635 776 728
302 268 504
24 307 -142
474 369 280
118 887 -39
278 652 684
752 148 -275
611 153 -385
595 482 -48
848 319 -659
281 11 317
176 606 245
826 887 -370
233 589 -20
647 263 -239
62 211 -970
684 125 -329
477 206 5
526 716 -249
103 41 316
627 527 363
196 55 -158
364 353 859
459 539 639
610 15 -107
529 819 -840
284 245 -171
862 63 -905
842 308 627
287 283 -412
756 323 -861
145 406 -880
205 454 -917
305 518 -330
571 244 -127
604 685 669
508 334 123
420 679 -825
447 598 19
285 45 222
165 140 961
357 508 -605
46 685 601
209 806 -78
327 233 943
559 333 -994
732 462 -53
797 396 995
275 128 -648
356 753 642
245 5 753
518 444 686
745 835 -3
516 677 -518
124 610 78
510 194 -926
521 364 -874
682 641 237
178 818 610
580 19 -664
831 545 982
280 127 -670
112 747 833
731 514 -501
185 293 413
617 213 458
134 445 -384
539 552 811
713 120 563
856 597 243
36 393 -321
499 748 278
707 743 -156
40 741 761
705 631 -417
328 839 671
367 351 -71
833 868 488
821 713 655
837 345 692
505 92 -871
385 121 816
562 583 7
600 135 -620
483 418 39
474 121 372
224 61 853
4 860 938
412 442 264
223 177 -105
719 887 -45
330 107 357
749 672 -242
187 605 -115
762 515 241
25 690 -516
160 739 -555
139 460 249
57 877 809
848 636 42
209 461 -683
502 359 -691
855 462 753
591 749 330
110 526 62
536 779 -794
671 130 -691
441 324 439
784 793 -946
790 221 718
148 497 966
104 254 589
209 742 928
481 867 -818
432 499 -423
648 444 682
610 628 100
413 278 140
