906 910
337 329 -144
865 792 -721
181 501 723
630 312 587
6 583 940
711 156 -217
340 255 918
760 786 -583
569 37 -774
209 34 -978
290 62 -94
83 648 492
569 264 -118
363 470 -615
680 507 399
740 45 -590
857 682 -677
677 369 -733
29 98 321
869 694 -222
356 624 848
349 806 -437
38 107 -703
422 676 -203
18 60 574
585 694 -343
392 718 -263
226 11 639
162 873 532
379 835 155
184 116 51
759 512 -645
840 666 876
906 736 169
867 394 937
67 292 437
852 441 36
868 853 -908
15 688 -818
524 481 -899
841 324 268
487 896 338
277 574 839
425 437 648
267 46 179
248 644 -399
221 516 995
770 70 967
553 895 -492
687 787 -887
79 748 -473
300 395 -146
658 603 38
787 893 299
213 733 -921
204 415 526
566 830 914
615 144 -108
45 815 760
804 102 -172
30 776 755
52 432 842
474 515 -533
454 253 384
31 117 -780
311 537 -940
508 344 -947
350 394 358
833 528 -544
673 86 532
583 531 -474
888 17 440
301 408 698
268 373 827
288 115 -16
87 365 -825
242 847 -37
407 321 -724
405 677 -353
437 350 -19
74 432 -887
128 506 -782
139 314 409
714 464 307
325 396 -447
811 834 776
54 377 860
649 819 963
736 578 -550
744 319 40
460 693 981
681 546 -270
868 650 -537
549 154 -629
706 722 -816
761 21 -310
174 275 -53
371 742 781
377 416 263
617 419 997
35 214 71
408 657 735
372 90 -837
489 13 479
248 215 -913
255 870 -276
869 792 -25
456 847 -10
722 688 -590
441 68 94
636 424 742
370 170 481
555 784 294
180 904 -265
516 824 -319
677 494 -800
813 724 -105
884 356 308
312 333 789
61 179 267
259 108 475
121 626 -89
207 287 -151
705 530 304
552 313 236
188 873 55
556 878 -542
541 692 623
244 694 -4
709 794 -491
859 325 917
375 90 -267
572 629 -816
842 815 -594
573 227 304
516 424 402
80 773 211
256 544 -997
433 182 -724
40 24 264
903 263 991
427 747 -379
496 480 -691
126 436 -49
23 874 -680
654 519 -642
742 763 863
408 794 834
828 92 550
881 455 -244
406 477 947
484 498 463
244 527 -507
463 166 -796
531 784 845
74 51 870
41 347 -130
832 326 -771
836 265 -151
473 366 -348
767 806 575
479 700 115
277 528 484
407 230 804
119 779 -266
311 286 915
367 884 -525
130 104 -168
511 472 -281
550 797 150
682 16 425
121 185 -189
819 796 -723
790 545 150
515 790 843
538 332 625
503 750 -417
818 269 -884
686 648 -772
376 158 254
676 834 644
334 890 -397
