853 2905
42 256 234
852 752 375
662 235 498
340 530 124
209 734 467
770 101 918
704 149 623
696 485 302
188 9 316
731 354 293
444 625 411
648 507 998
809 130 449
674 848 934
773 440 344
123 261 742
326 120 538
473 329 251
853 733 112
373 168 371
557 186 925
707 436 373
454 827 81
735 563 275
46 642 735
696 559 217
229 84 954
188 216 156
450 73 562
747 613 441
396 263 772
316 471 908
679 477 786
403 268 695
637 186 925
328 549 689
201 287 791
6 479 333
271 215 567
699 634 42
304 677 667
560 361 54
555 698 923
273 490 869
832 680 691
492 31 193
791 478 387
709 74 564
41 312 913
399 146 54
463 100 316
547 502 493
294 707 617
833 691 848
214 789 128
292 807 726
69 476 539
382 535 987
229 782 527
696 124 350
137 701 625
424 261 445
510 538 127
826 521 485
46 296 272
647 375 185
760 829 715
722 295 294
222 638 532
853 445 508
122 538 930
652 303 504
527 699 283
538 411 503
263 780 50
647 59 514
718 731 123
514 124 832
820 376 612
393 113 692
597 43 92
265 656 675
516 765 976
344 169 299
236 125 747
345 409 448
48 409 308
670 87 593
409 748 301
320 275 224
499 92 237
617 381 118
344 290 719
455 218 323
592 476 543
795 842 923
363 95 847
327 356 510
465 566 209
743 362 317
413 102 650
56 832 184
180 778 257
696 333 399
263 704 441
166 64 772
660 496 103
416 772 896
594 2 130
514 757 650
590 55 915
538 525 326
179 146 611
14 672 30
75 828 658
127 766 945
458 101 417
391 304 518
117 687 799
844 252 820
261 166 654
95 138 762
197 773 303
639 748 956
622 70 145
636 284 952
437 705 203
516 41 480
545 50 985
368 507 621
663 480 816
186 400 587
630 403 468
606 552 744
583 108 280
518 571 156
782 231 893
564 201 92
390 682 968
153 507 909
720 521 769
47 530 969
281 573 401
799 591 596
75 54 149
1 222 230
422 193 565
524 465 752
97 572 558
210 288 379
571 207 437
791 472 928
672 160 681
765 82 404
173 141 878
820 170 896
649 444 892
518 369 579
66 345 65
8 428 72
646 809 516
311 809 55
105 601 761
320 27 451
646 275 510
293 851 735
224 258 776
594 178 36
684 183 616
402 351 505
542 285 446
680 229 467
722 567 612
674 324 394
144 126 831
794 106 32
530 280 499
629 654 296
163 284 59
244 39 948
81 126 700
90 808 907
616 821 116
266 290 845
610 329 650
671 283 206
379 562 236
613 521 624
734 409 216
828 753 904
174 508 786
149 70 972
695 578 18
234 190 596
428 232 665
197 513 211
460 744 593
811 390 266
562 629 449
577 547 389
463 412 198
477 502 108
280 758 921
193 498 187
578 530 577
448 70 540
514 143 424
671 687 134
351 799 831
790 806 105
635 328 869
759 748 850
362 453 325
603 294 850
134 596 478
711 197 202
727 779 878
755 310 433
533 501 633
303 123 550
364 61 726
169 354 349
673 106 987
761 774 54
230 722 48
448 89 245
447 227 399
441 45 642
635 111 472
442 437 775
297 264 857
404 696 387
722 616 550
120 55 384
527 179 210
4 602 577
59 198 117
753 485 303
639 149 17
356 40 286
650 807 131
827 240 759
445 566 510
294 535 753
643 366 665
181 63 450
837 697 247
120 848 208
592 5 10
76 488 55
253 692 826
35 116 467
614 820 337
671 842 674
572 782 985
680 803 534
71 199 221
638 775 808
81 102 886
39 584 501
712 486 360
376 329 88
164 634 225
270 528 395
377 225 713
129 432 375
646 398 840
607 282 615
405 650 592
107 615 480
447 633 865
367 233 414
483 693 347
442 569 48
813 569 544
497 660 967
354 772 200
561 42 319
270 523 945
852 716 381
702 107 383
87 427 80
690 555 407
569 664 817
681 796 408
567 824 399
489 386 98
422 477 730
530 184 612
838 208 880
560 852 411
132 677 590
285 571 870
168 377 75
755 590 607
115 102 331
401 706 471
790 722 667
410 77 596
162 617 769
95 278 617
422 565 600
428 24 202
456 505 991
247 149 754
502 63 109
32 248 825
832 592 184
684 219 109
165 419 17
561 397 210
749 75 653
471 317 963
589 149 490
584 736 574
319 352 930
725 736 162
166 167 661
13 249 613
643 655 550
630 197 32
119 503 394
13 3 564
604 116 497
696 18 467
199 785 103
2 155 883
430 152 974
232 128 633
492 845 466
487 141 485
657 308 822
775 679 671
843 668 400
233 359 318
397 469 483
598 536 449
805 693 735
318 629 713
55 237 869
166 458 340
678 449 495
621 547 347
216 177 675
53 428 748
269 245 939
834 53 3
612 413 317
343 66 863
567 26 722
565 725 579
267 383 12
715 5 571
62 784 939
828 377 757
42 351 951
656 377 212
138 287 3
570 612 643
189 840 481
617 287 286
23 501 38
433 750 623
453 181 266
749 590 523
692 336 541
408 145 908
281 438 62
829 483 452
143 90 324
643 48 647
453 845 812
419 811 306
142 742 398
596 521 296
250 775 439
107 518 731
270 103 797
358 234 759
44 18 363
423 168 228
727 326 961
458 643 179
425 394 870
654 681 863
320 709 918
591 20 577
278 724 21
658 538 888
355 159 351
216 550 844
753 341 378
754 265 659
558 420 953
368 570 427
157 583 799
625 14 859
295 758 222
623 612 509
610 235 947
537 761 740
297 689 816
525 511 631
185 486 664
134 206 911
211 120 819
529 465 496
275 316 76
532 273 577
543 109 44
405 615 343
766 235 291
175 131 481
543 257 801
768 91 347
97 497 819
404 417 133
324 811 529
113 163 106
594 361 373
508 762 631
29 343 571
252 618 555
294 109 448
786 661 583
240 231 474
479 726 761
327 378 39
461 28 108
823 550 470
604 754 750
247 44 586
641 82 121
383 216 216
733 495 852
311 215 923
203 186 581
36 196 802
134 840 711
804 165 253
701 415 541
263 82 322
794 307 359
212 360 801
469 761 18
620 738 64
779 344 546
342 260 275
559 61 863
750 518 725
594 693 849
359 145 930
538 434 278
339 169 808
37 222 366
105 632 250
483 572 178
195 846 143
579 367 833
481 105 242
641 707 877
194 69 242
814 629 57
186 454 811
35 586 49
189 204 155
590 518 787
418 389 973
476 795 579
127 720 763
459 106 4
664 840 931
396 243 636
475 29 90
571 287 514
266 84 445
113 713 226
837 176 62
141 631 154
516 812 142
50 486 489
504 623 59
122 258 914
90 497 237
653 212 647
671 628 324
439 440 230
466 291 907
804 836 33
449 795 330
719 142 537
580 660 85
32 718 515
138 670 593
453 713 838
91 480 350
673 355 982
14 392 257
173 734 101
836 141 234
276 643 79
475 426 450
558 196 509
324 565 860
174 4 676
155 794 266
488 214 501
197 33 554
467 650 398
195 170 13
380 484 294
556 18 203
764 833 822
587 143 395
26 200 878
428 474 927
377 439 358
435 622 108
353 831 719
291 161 348
55 447 478
23 130 339
526 541 992
745 299 884
96 438 300
221 11 404
633 722 684
294 180 126
469 257 335
287 448 507
448 485 917
637 540 871
262 607 584
726 586 60
256 79 622
191 805 738
62 573 622
695 496 569
298 321 15
497 348 272
607 120 287
607 98 483
300 276 352
847 5 938
539 259 261
205 634 543
800 37 901
726 344 673
400 443 964
808 672 183
553 693 362
200 319 69
426 639 785
730 17 422
488 358 267
186 417 69
338 150 925
168 256 880
712 105 853
723 47 781
676 102 987
485 134 157
244 360 873
280 186 634
517 565 923
265 80 883
690 740 627
425 377 941
838 579 3
385 467 101
687 483 172
10 412 190
657 142 236
242 289 248
71 620 624
368 761 11
588 314 783
451 774 486
22 59 453
231 469 297
789 330 570
200 412 581
192 613 529
331 29 488
566 49 739
41 745 457
345 196 184
505 744 681
796 16 234
549 400 985
92 849 988
253 596 148
772 477 404
487 648 423
9 184 306
768 240 451
536 743 561
422 838 398
473 751 410
447 418 402
2 466 192
145 86 475
501 75 193
702 267 665
663 488 880
244 786 722
505 361 819
452 66 100
700 661 469
139 836 110
3 379 137
762 264 525
83 85 785
332 652 255
323 198 323
446 592 688
773 631 370
178 52 91
21 87 870
265 596 858
516 724 876
121 801 569
124 379 965
647 175 343
244 690 510
574 684 804
565 744 937
408 553 681
217 71 669
57 470 537
741 755 263
781 466 311
745 280 984
36 95 669
172 853 148
157 356 972
652 312 382
591 262 265
172 402 980
134 710 395
132 747 875
613 416 561
93 39 34
598 136 509
523 237 655
329 728 409
17 304 92
143 403 51
674 130 958
386 624 647
673 458 448
141 470 12
841 692 989
400 850 736
43 743 440
500 739 428
243 849 302
204 147 150
326 249 653
555 711 155
829 9 782
134 283 450
363 730 306
488 737 622
254 645 419
828 529 496
323 760 601
641 737 307
481 260 312
681 554 977
499 195 75
472 704 903
170 132 837
241 569 497
156 390 952
538 367 517
656 813 912
213 574 85
324 820 227
806 316 140
586 791 106
710 768 952
54 131 675
518 732 110
535 252 714
661 144 518
765 91 244
527 19 182
141 210 752
182 272 692
622 390 263
525 414 960
725 226 211
621 761 559
250 323 892
387 292 635
798 33 390
211 274 735
360 336 847
600 53 789
674 490 313
215 214 43
594 780 974
832 274 919
682 210 767
337 196 212
303 740 404
660 801 112
460 713 837
479 442 99
518 433 238
464 361 459
475 113 638
529 480 372
255 198 833
600 42 931
699 448 329
128 305 460
456 404 865
98 771 345
388 571 175
192 737 761
470 806 646
496 466 128
26 508 458
511 337 9
131 588 157
367 111 464
88 37 103
158 484 495
500 67 311
147 611 119
541 347 72
96 419 355
748 205 240
327 230 963
321 606 693
241 765 445
680 251 492
195 346 55
788 348 565
15 27 899
252 65 904
345 587 395
725 259 281
674 763 185
439 252 633
668 281 803
824 417 204
158 441 118
831 379 103
309 764 539
338 754 853
162 219 760
759 54 889
784 702 383
65 524 1000
751 702 497
766 499 325
544 362 669
477 321 683
462 269 30
124 732 328
559 137 373
54 512 92
187 515 485
543 76 763
400 475 500
797 125 36
339 589 421
339 497 764
13 443 98
84 324 656
346 341 847
254 647 895
255 518 661
76 822 101
840 158 311
482 767 289
529 615 720
423 792 488
414 537 396
351 742 409
148 739 668
34 824 996
472 505 661
571 489 104
130 390 443
443 371 554
25 268 225
734 637 442
226 52 836
764 96 716
846 792 495
16 217 946
221 155 438
570 525 854
203 30 405
386 106 809
779 411 32
318 702 598
141 460 973
487 353 653
853 109 882
220 440 719
92 164 20
47 403 543
736 72 573
263 374 218
623 31 967
247 54 895
380 391 614
652 644 723
89 13 683
695 590 383
637 754 958
594 197 932
277 665 488
386 515 733
775 518 906
18 472 896
733 573 13
189 68 803
737 159 857
462 760 602
172 96 957
472 76 146
472 163 18
636 553 291
787 416 844
792 177 129
530 215 606
565 175 60
299 607 343
620 218 453
393 216 153
278 529 866
484 393 385
240 50 578
634 230 445
506 112 812
438 313 273
316 132 278
29 239 887
92 449 990
837 374 745
51 734 361
779 308 95
376 388 635
805 209 234
599 786 987
433 395 374
377 167 900
386 839 644
673 88 881
625 199 661
692 207 597
184 641 45
585 86 31
427 169 189
746 215 23
279 261 962
607 373 980
625 12 230
543 735 558
253 542 78
259 244 840
65 661 231
649 94 887
480 138 897
321 347 10
184 695 60
432 715 678
508 332 322
763 298 805
485 456 107
34 463 511
750 829 520
248 683 943
159 435 172
426 195 730
329 130 556
330 676 761
114 734 258
144 711 124
614 252 226
384 156 351
776 408 676
824 789 828
615 4 939
776 642 283
717 193 293
172 142 542
220 778 942
242 173 555
323 256 352
93 726 447
116 727 488
598 132 795
683 281 343
779 609 249
535 685 998
204 703 168
833 94 516
206 816 182
313 528 972
803 833 341
510 39 348
670 560 904
13 658 859
801 750 746
155 439 638
158 157 260
420 505 984
381 588 544
500 354 629
93 98 992
90 483 906
648 332 543
637 579 304
818 356 25
25 664 48
99 74 593
175 318 797
321 231 565
730 297 554
848 659 267
610 832 924
231 184 753
290 236 531
193 18 439
671 800 977
502 633 238
402 375 53
626 314 19
186 816 352
750 310 304
91 509 610
10 83 854
211 665 597
624 583 571
474 832 86
132 814 312
706 214 689
585 552 302
282 411 958
248 655 873
230 656 759
223 610 615
793 309 398
541 616 656
240 717 656
526 365 885
620 28 781
189 553 613
102 668 772
179 793 728
788 69 198
50 762 726
731 830 360
372 557 381
497 4 982
652 477 651
586 803 770
67 65 19
355 511 76
692 796 622
446 369 261
354 458 189
401 805 488
208 567 191
337 426 390
629 505 710
89 527 732
686 343 849
696 564 267
717 655 608
375 244 920
182 622 65
136 251 506
156 280 742
801 697 61
493 117 947
406 268 459
89 575 883
371 103 316
347 698 61
317 5 399
593 277 784
343 67 477
14 109 873
657 581 259
803 406 965
216 19 968
136 305 465
406 795 478
69 787 838
328 536 646
735 11 914
738 652 458
742 377 65
321 141 397
454 466 903
841 335 85
720 265 12
516 248 801
539 228 675
76 100 423
499 660 723
96 454 952
834 325 105
558 77 614
457 128 589
261 196 850
449 103 764
674 89 19
491 853 929
35 155 431
467 338 559
133 492 287
464 208 43
851 551 358
468 363 614
780 416 432
224 588 724
359 490 676
154 465 920
685 405 515
110 392 127
475 213 779
465 673 365
363 616 311
289 126 33
93 293 201
548 525 196
508 791 84
454 706 466
275 652 48
522 554 177
440 384 647
412 429 454
851 468 959
214 101 524
718 238 775
827 92 910
312 137 345
548 593 891
352 444 869
498 824 773
345 31 423
103 760 823
30 329 39
92 152 958
756 111 648
246 308 675
82 93 876
736 36 679
34 625 189
714 234 925
569 411 39
165 359 492
167 582 756
40 669 666
255 692 717
806 790 335
175 216 974
659 352 407
220 88 857
117 223 586
328 133 117
694 491 496
303 595 241
787 747 197
708 232 19
378 326 64
271 671 718
537 546 307
583 658 54
539 144 332
562 292 654
214 407 658
728 130 579
469 336 709
226 376 95
790 200 857
154 58 806
96 221 351
365 132 899
465 806 251
112 813 97
72 637 992
574 470 522
454 163 626
543 737 956
821 227 641
237 45 488
635 834 166
768 698 850
226 799 458
462 153 875
709 457 694
283 70 280
464 526 220
126 9 692
729 284 283
141 40 879
457 316 484
439 94 84
553 413 729
676 802 562
699 399 955
727 551 371
318 538 171
514 247 731
18 731 853
388 745 17
33 127 23
818 853 723
237 582 701
24 73 551
497 607 947
797 758 95
131 636 989
241 252 409
519 261 594
67 261 61
77 132 838
703 394 148
291 96 646
813 155 827
783 759 570
200 150 679
229 349 462
352 781 26
367 542 975
339 164 360
94 479 367
773 721 798
296 89 275
816 63 783
716 127 231
751 583 82
253 745 36
738 190 535
732 519 279
8 32 484
457 416 645
31 583 367
156 421 996
354 543 742
556 139 310
776 850 790
851 1 945
173 19 408
579 674 211
337 498 451
493 545 319
308 803 959
751 595 370
173 581 555
567 785 19
381 658 921
438 217 83
465 240 681
678 303 713
509 501 621
815 826 981
632 10 624
664 567 785
519 346 984
607 132 133
574 76 862
117 799 461
351 546 455
734 637 995
216 287 666
283 471 728
486 589 598
465 435 152
728 632 459
544 330 957
374 637 495
607 392 467
548 757 875
586 477 800
762 538 183
698 575 80
605 545 822
442 751 510
576 108 586
357 401 635
773 565 623
127 553 670
618 291 949
322 408 909
471 586 777
186 364 655
393 591 537
118 476 207
354 298 850
138 853 742
824 92 352
585 462 206
771 258 187
41 564 355
283 522 931
86 756 357
236 226 843
193 654 697
635 284 158
835 581 490
328 824 587
455 727 842
198 30 818
53 690 523
634 339 130
77 66 873
8 520 727
760 555 509
335 573 441
152 91 214
840 499 72
107 728 64
373 425 52
700 476 666
9 158 879
447 86 403
516 844 415
682 771 80
261 11 347
48 61 467
750 611 810
428 466 501
640 773 515
597 849 1000
819 356 527
174 363 977
514 37 570
157 330 3
741 88 464
733 465 913
189 286 403
640 739 82
525 417 614
467 576 670
741 750 759
125 753 411
157 113 854
73 527 418
336 394 513
313 384 307
443 755 323
62 302 147
726 185 599
849 387 371
118 725 923
183 1 907
578 735 740
826 63 319
532 26 99
657 303 351
606 544 252
21 511 851
674 724 11
635 45 212
434 194 757
152 542 472
227 538 992
488 440 959
219 549 456
84 328 664
132 643 817
759 824 540
686 839 32
248 325 397
760 371 645
57 140 96
313 557 104
847 769 95
159 707 755
189 204 991
318 349 311
735 729 443
423 39 647
138 757 963
52 373 907
714 413 837
831 623 604
322 175 325
371 225 25
453 144 722
447 362 558
351 194 822
78 426 464
52 104 938
736 104 144
28 598 511
14 230 510
118 269 370
735 767 226
10 325 876
490 699 347
262 120 484
302 173 914
209 79 540
231 232 777
6 3 730
153 266 495
678 28 881
177 393 967
105 620 115
659 746 270
588 350 552
694 295 866
87 390 623
464 618 926
395 785 229
374 218 959
512 159 245
611 486 286
644 787 697
68 548 34
563 832 36
159 735 955
25 483 392
838 51 443
665 426 546
847 94 27
342 177 546
203 40 333
15 559 215
287 523 853
567 597 12
109 467 921
584 367 888
136 398 216
715 593 493
56 495 378
687 325 221
270 418 230
758 816 708
677 674 19
141 225 707
847 674 581
688 777 33
72 438 8
529 475 187
503 91 999
828 385 556
96 186 518
532 689 59
724 811 274
528 555 929
261 245 177
549 804 403
795 837 836
300 729 335
502 157 340
29 280 870
248 812 524
325 807 999
770 118 513
845 133 84
665 554 556
98 101 440
7 357 126
34 631 719
43 175 27
711 614 191
547 705 435
573 78 394
2 259 557
35 96 681
86 168 358
458 689 632
498 134 415
785 415 590
226 754 590
254 444 666
499 840 731
365 477 537
788 701 446
577 533 797
126 366 880
439 756 930
387 210 690
155 759 286
465 217 731
72 407 989
782 687 672
564 241 250
804 520 349
815 420 921
605 225 413
378 266 684
487 541 220
104 408 259
825 332 437
509 802 990
541 298 641
328 177 184
353 787 888
56 282 575
61 212 750
767 202 195
717 505 103
274 258 247
348 222 384
709 49 45
94 276 306
623 77 691
241 64 472
465 265 886
12 385 692
339 114 475
67 334 670
350 133 965
786 14 494
459 89 976
16 546 708
709 61 366
345 24 619
293 127 426
517 369 65
307 150 612
770 106 618
93 812 885
362 163 520
540 569 725
554 685 885
183 565 849
183 400 552
288 671 93
565 400 143
443 684 788
265 541 928
190 115 548
258 249 950
314 732 750
11 794 76
737 841 402
793 88 529
98 746 794
389 546 810
563 592 284
440 518 134
714 395 106
141 56 381
309 112 223
405 803 933
268 756 652
118 16 923
843 672 264
498 718 954
648 798 545
423 97 88
412 89 20
401 666 915
756 13 680
314 58 313
83 805 381
536 630 420
811 685 158
428 752 207
670 631 863
846 534 897
463 828 367
818 104 671
336 673 409
320 741 35
503 260 271
506 563 439
506 35 972
280 329 659
763 194 440
382 826 295
434 162 460
820 289 248
325 60 761
683 59 249
508 822 918
800 654 99
612 134 168
411 349 579
182 695 211
167 290 554
181 90 429
633 799 737
13 69 49
187 36 549
538 83 945
212 769 609
662 655 180
466 833 188
65 370 626
830 775 10
378 779 192
371 675 720
727 464 81
6 100 233
598 43 667
172 479 784
16 312 483
385 338 709
236 630 861
577 284 651
345 263 353
798 268 113
444 523 933
784 205 814
124 660 767
679 626 581
217 96 682
831 756 827
755 330 669
364 187 730
500 339 252
646 770 342
850 545 241
349 629 498
326 726 328
563 661 173
569 491 687
449 136 154
267 504 978
129 200 145
161 839 691
108 545 703
199 50 72
623 62 718
436 117 315
305 705 327
534 401 270
735 454 990
830 55 583
715 95 750
83 761 780
426 640 85
516 290 731
259 226 503
152 799 967
566 255 862
266 511 654
175 835 248
624 152 942
835 742 49
84 412 98
529 309 366
719 715 758
174 443 985
431 669 817
381 632 989
496 43 738
566 191 696
850 426 528
43 773 833
537 292 176
768 580 153
210 699 806
230 717 662
737 636 65
493 435 782
269 829 82
834 673 399
700 100 404
566 482 65
334 74 794
556 1 78
51 794 305
439 286 241
613 275 203
809 688 432
498 769 27
187 515 38
398 325 722
180 489 238
80 254 98
654 547 876
231 53 804
23 42 252
618 791 205
416 718 702
813 261 848
755 183 372
753 51 296
51 223 571
368 213 60
519 375 910
583 764 919
455 254 752
466 256 472
225 506 588
558 157 511
305 659 127
410 666 806
556 175 571
45 216 892
419 87 578
160 150 53
190 720 627
755 821 350
160 770 688
427 328 45
10 558 469
462 614 909
799 346 362
386 566 571
399 423 226
478 156 246
290 749 422
384 71 977
521 139 539
529 449 677
237 346 206
724 100 816
